season,ip,pitches,fb,sl,ct,cb,ch,sf,kn,xx
2002,43269.0,698383,0.644,0.121,,0.112,0.098,0.017,0.008,0.07
2003,43335.0,701439,0.638,0.118,,0.1,0.12,0.017,0.006,0.059
2004,43394.0,710223,0.626,0.136,0.01,0.091,0.114,0.017,0.006,0.089
2005,43232.1,696313,0.619,0.148,0.022,0.084,0.109,0.014,0.005,0.055
2006,43258.0,707725,0.611,0.151,0.027,0.088,0.106,0.014,0.003,0.026
2007,43425.2,712125,0.606,0.149,0.029,0.086,0.113,0.014,0.004,0.02
2008,43357.2,714136,0.607,0.153,0.036,0.087,0.099,0.013,0.005,0.018
2009,43272.0,717053,0.597,0.149,0.046,0.091,0.1,0.013,0.004,0.019
2010,43305.1,710398,0.587,0.148,0.047,0.09,0.107,0.014,0.007,0.016
2011,43527.1,707845,0.578,0.146,0.057,0.094,0.104,0.015,0.006,0.008
2012,43355.1,705321,0.576,0.144,0.058,0.104,0.098,0.016,0.004,0.006
2013,43653.1,709916,0.578,0.145,0.057,0.097,0.102,0.017,0.005,0.006
2014,43613.2,704976,0.577,0.137,0.062,0.099,0.104,0.016,0.005,0.005
2015,43407.2,702307,0.577,0.147,0.056,0.091,0.108,0.014,0.006,0.005
2016,43306.1,715823,0.567,0.152,0.057,0.102,0.103,0.014,0.006,0.005
2017,43257.0,721249,0.556,0.163,0.055,0.106,0.103,0.013,0.004,0.005
2018,43489.0,721191,0.549,0.169,0.056,0.105,0.107,0.013,0.001,0.005
2019,43423.1,732477,0.525,0.183,0.059,0.106,0.111,0.014,0.0,0.004
2020,15468.2,263591,0.505,0.188,0.066,0.106,0.119,0.016,0.0,0.003
2021,42615.0,709855,0.511,0.201,0.062,0.097,0.114,0.015,0.0,0.004
2022,43075.1,708544,0.491,0.218,0.066,0.097,0.113,0.015,0.0,0.003
